m,meant,maxt,mint,meanb,maxb,minb
 86251,0.7305E-04,0.7749E-04,0.7081E-04,0.9456E+10,0.9744E+10,0.8905E+10
 86301,0.7198E-04,0.8059E-04,0.7057E-04,0.9606E+10,0.9783E+10,0.8567E+10
 86351,0.7281E-04,0.7820E-04,0.7057E-04,0.9500E+10,0.9789E+10,0.8834E+10
 86401,0.7205E-04,0.8082E-04,0.7081E-04,0.9608E+10,0.9761E+10,0.8552E+10
 86451,0.7508E-04,0.8225E-04,0.7081E-04,0.9241E+10,0.9767E+10,0.8408E+10
 86501,0.8135E-04,0.9131E-04,0.7677E-04,0.8526E+10,0.9014E+10,0.7578E+10
 86551,0.8101E-04,0.8559E-04,0.7868E-04,0.8552E+10,0.8801E+10,0.8090E+10
 86601,0.7601E-04,0.8798E-04,0.7224E-04,0.9151E+10,0.9590E+10,0.7875E+10
 86651,0.7606E-04,0.8154E-04,0.7105E-04,0.9136E+10,0.9757E+10,0.8502E+10
 86701,0.7353E-04,0.7772E-04,0.7200E-04,0.9438E+10,0.9633E+10,0.8924E+10
 86751,0.7744E-04,0.8273E-04,0.7367E-04,0.8974E+10,0.9420E+10,0.8389E+10
 86801,0.7308E-04,0.7892E-04,0.7176E-04,0.9511E+10,0.9676E+10,0.8799E+10
 86851,0.8099E-04,0.8965E-04,0.7343E-04,0.8614E+10,0.9462E+10,0.7751E+10
 86901,0.7966E-04,0.8535E-04,0.7606E-04,0.8740E+10,0.9141E+10,0.8145E+10
 86951,0.7834E-04,0.8178E-04,0.7701E-04,0.8882E+10,0.9033E+10,0.8506E+10
 87001,0.7827E-04,0.9108E-04,0.7319E-04,0.8919E+10,0.9509E+10,0.7642E+10
 87051,0.8237E-04,0.8869E-04,0.7343E-04,0.8478E+10,0.9484E+10,0.7852E+10
 87101,0.7434E-04,0.7987E-04,0.7176E-04,0.9387E+10,0.9710E+10,0.8724E+10
 87151,0.7377E-04,0.8178E-04,0.7176E-04,0.9464E+10,0.9715E+10,0.8526E+10
 87201,0.7453E-04,0.8345E-04,0.7153E-04,0.9392E+10,0.9753E+10,0.8360E+10
 87251,0.7467E-04,0.8559E-04,0.7105E-04,0.9392E+10,0.9824E+10,0.8155E+10
 87301,0.7288E-04,0.8178E-04,0.7129E-04,0.9598E+10,0.9797E+10,0.8540E+10
 87351,0.7365E-04,0.8297E-04,0.7129E-04,0.9517E+10,0.9803E+10,0.8422E+10
 87401,0.7339E-04,0.8559E-04,0.7129E-04,0.9556E+10,0.9808E+10,0.8169E+10
 87451,0.7358E-04,0.8082E-04,0.7129E-04,0.9530E+10,0.9814E+10,0.8656E+10
 87501,0.7408E-04,0.8416E-04,0.7153E-04,0.9474E+10,0.9787E+10,0.8317E+10
 87551,0.7436E-04,0.8321E-04,0.7153E-04,0.9439E+10,0.9792E+10,0.8418E+10
 87601,0.7398E-04,0.8607E-04,0.7153E-04,0.9504E+10,0.9798E+10,0.8142E+10
 87651,0.7377E-04,0.8249E-04,0.7176E-04,0.9529E+10,0.9771E+10,0.8500E+10
 87701,0.7384E-04,0.8416E-04,0.7153E-04,0.9525E+10,0.9809E+10,0.8336E+10
 87751,0.7434E-04,0.8297E-04,0.7153E-04,0.9467E+10,0.9815E+10,0.8461E+10
 87801,0.7410E-04,0.8416E-04,0.7129E-04,0.9504E+10,0.9853E+10,0.8346E+10
 87851,0.7479E-04,0.8535E-04,0.7129E-04,0.9427E+10,0.9859E+10,0.8234E+10
 87901,0.7575E-04,0.8464E-04,0.7176E-04,0.9314E+10,0.9799E+10,0.8308E+10
 87951,0.7720E-04,0.1056E-03,0.7176E-04,0.9239E+10,0.9804E+10,0.6662E+10
 88001,0.7632E-04,0.8392E-04,0.7176E-04,0.9266E+10,0.9810E+10,0.8389E+10
 88051,0.8097E-04,0.9227E-04,0.7224E-04,0.8737E+10,0.9751E+10,0.7634E+10
 88101,0.8080E-04,0.8893E-04,0.7677E-04,0.8741E+10,0.9181E+10,0.7925E+10
 88151,0.7372E-04,0.8273E-04,0.7153E-04,0.9583E+10,0.9860E+10,0.8524E+10
 88201,0.7405E-04,0.8297E-04,0.7200E-04,0.9548E+10,0.9800E+10,0.8504E+10
 88251,0.7744E-04,0.8750E-04,0.7248E-04,0.9150E+10,0.9741E+10,0.8069E+10
 88301,0.7491E-04,0.9036E-04,0.7200E-04,0.9472E+10,0.9811E+10,0.7818E+10
 88351,0.7579E-04,0.8464E-04,0.7200E-04,0.9358E+10,0.9816E+10,0.8351E+10
 88401,0.7479E-04,0.8154E-04,0.7200E-04,0.9472E+10,0.9822E+10,0.8673E+10
 88451,0.7474E-04,0.7915E-04,0.7272E-04,0.9477E+10,0.9731E+10,0.8940E+10
 88501,0.7441E-04,0.7915E-04,0.7224E-04,0.9526E+10,0.9801E+10,0.8945E+10
 88551,0.7420E-04,0.7963E-04,0.7224E-04,0.9560E+10,0.9806E+10,0.8896E+10
 88601,0.7451E-04,0.8130E-04,0.7248E-04,0.9527E+10,0.9779E+10,0.8718E+10
 88651,0.7465E-04,0.7915E-04,0.7224E-04,0.9511E+10,0.9817E+10,0.8960E+10
 88701,0.7491E-04,0.8273E-04,0.7224E-04,0.9497E+10,0.9823E+10,0.8577E+10
 88751,0.7470E-04,0.8011E-04,0.7224E-04,0.9519E+10,0.9828E+10,0.8863E+10
 88801,0.7522E-04,0.8559E-04,0.7248E-04,0.9474E+10,0.9802E+10,0.8300E+10
 88851,0.7532E-04,0.7963E-04,0.7272E-04,0.9447E+10,0.9775E+10,0.8926E+10
 88901,0.7591E-04,0.7915E-04,0.7248E-04,0.9378E+10,0.9813E+10,0.8985E+10
 88951,0.7746E-04,0.8535E-04,0.7319E-04,0.9214E+10,0.9722E+10,0.8337E+10
 89001,0.8080E-04,0.8845E-04,0.7677E-04,0.8827E+10,0.9274E+10,0.8050E+10
 89051,0.8035E-04,0.8726E-04,0.7796E-04,0.8881E+10,0.9138E+10,0.8164E+10
 89101,0.7944E-04,0.8559E-04,0.7749E-04,0.8980E+10,0.9199E+10,0.8328E+10
 89151,0.8264E-04,0.9704E-04,0.7749E-04,0.8675E+10,0.9204E+10,0.7350E+10
 89201,0.7939E-04,0.8631E-04,0.7296E-04,0.9016E+10,0.9781E+10,0.8268E+10
 89251,0.7894E-04,0.8821E-04,0.7367E-04,0.9089E+10,0.9692E+10,0.8094E+10
 89301,0.8340E-04,0.9131E-04,0.8011E-04,0.8577E+10,0.8918E+10,0.7824E+10
 89351,0.8132E-04,0.1004E-03,0.7367E-04,0.8857E+10,0.9703E+10,0.7121E+10
 89401,0.7758E-04,0.9537E-04,0.7319E-04,0.9291E+10,0.9771E+10,0.7499E+10
